SI,Course_ID,Course_Title,01_960_463_01,01_960_486_01,CALCULUS_1,CALCULUS_1_152,CS461_SPRING2023,CS462__INTRODUCTION_TO_DEEP_LEARNING,DATA_STRUCTURES,DMDS_DESCRIPTION,INTERMEDIATE_STAT_ANALYSIS_384:484,INTRODUCTION_TO_COMPUTER_SCIENCE,LINEAR_ALGEBRA,RUTGERS_NB_DATA_101_COURSE_DETAILS_AUG_16_2022,STATISTICS_II,STATISTICS_REPORT_01,STAT_METHODS_IN_BUS,SYLLABUS_-_DATA_IN_CONTEXT_-_FALL_2024_-_10516,SYLLABUS_FOR_2021SP_-_DISCRT_II_01_198_206
BU,MTH095,INTERMEDIATE ALGEBRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,MTH104,BUSINESS MATHEMATICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,MTH107,INTRODUCTION TO STATISTICS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH108,QUANTITATIVE REASONING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH111,TRIGONOMETRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH112,COLLEGE ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH113,MODERN COLLEGE MATHEMATICS I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH116,PRECALCULUS A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH117,PRECALCULUS B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH118,CALCULUS I AND ANALYTIC GEOMETRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH119,CALCULUS II AND ANALYTIC GEOMETRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH126,APPLIED CALCULUS FOR EET,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH127,INTERMEDIATE ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH130,Accelerated Precalculus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH132,COLLEGE ALGEBRA FOR BUSINESS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH141,ELEMENTARY QUANTITATIVE METHODS FOR MANAGEMENT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH142,CALCULUS: TECHNIQUES AND APPLICATIONS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH143,STATISTICS I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH144,STATISTICS II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH145,APPLIED CALCULUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH201,LINEAR ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH211,STRUCTURES OF MATHEMATICS I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH212,STRUCTURES OF MATHEMATICS II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH220,CALCULUS III AND ANALYTIC GEOMETRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
